Rank,Compound_ID,smiles,FDA_APPROVED,CT_TOX,Predicted_pIC50,DiffDock Confidence,Affinity (kcal/mol),Ranking preferability,Composite_Score,Lab_Trial_Priority,Recommendation
1,CPMD-09,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCC[NH2+]C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](Cc2ccc(cc2)O)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(cc4)Cl)NC(=O)[C@@H](Cc5ccc6ccccc6c5)NC(=O)C,1,0,7.19862424972937,-5.14,0.0,1.0,0.8201,1,TOP CANDIDATE
2,CPMD-01,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2cn(cn2)Cc3ccccc3)NC(=O)[C@H](Cc4ccc(cc4)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc5c[nH]c6c5cccc6)NC(=O)[C@H](Cc7cnc[nH]7)NC(=O)[C@@H]8CCC(=O)N8,1,0,7.44851804137752,-3.3,2.651,,0.817,2,TOP CANDIDATE
3,CPMD-07,CC(C)C[C@@H](C(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4ccc(cc4)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc5c[nH]c6c5cccc6)NC(=O)[C@H](Cc7cnc[nH]7)NC(=O)[C@@H]8CCC(=O)N8,1,0,7.29916151349158,-4.02,-0.243,3.0,0.7993,3,TOP CANDIDATE
4,CPMD-02,Cc1cc2c(cc1C)N3C=N2[Co+]456(N7=C8[C@H](C(C7=CC9=N4C(=C(C1=N5[C@@]([C@@H]2N6C(=C8C)[C@@]([C@H]2CC(=O)N)(CCC(=O)NC[C@H](OP(=O)(O[C@@H]2[C@H](O[C@H]3[C@@H]2O)CO)[O-])C)C)([C@@]([C@@H]1CCC(=O)N)(C)CC(=O)N)C)C)[C@@]([C@@H]9CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N)O,1,0,7.38781526390231,-3.71,9.41,,0.7484,4,STRONG CANDIDATE
5,CPMD-04,CC(C)CC(C(=O)NC(CCC[NH+]=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(Cc2ccc(cc2)O)NC(=O)C(CO)NC(=O)C(Cc3c[nH]c4c3cccc4)NC(=O)C(Cc5cnc[nH]5)NC(=O)C6CCC(=O)N6,1,0,7.31127195823467,-3.22,1.717,,0.7243,5,STRONG CANDIDATE
6,CPMD-10,CCNC(=[NH+]CCCC[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCC[NH+]=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)N)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(cc4)Cl)NC(=O)[C@@H](Cc5ccc6ccccc6c5)NC(=O)C)NCC,1,0,7.17994949597137,-4.05,0.0,2.0,0.7176,6,STRONG CANDIDATE
7,CPMD-12,C[C@@H]1CCC2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,1,0,7.1174045870254,-4.45,-0.475,,0.7117,7,STRONG CANDIDATE
8,CPMD-08,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCNC(=O)N)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(cc4)Cl)NC(=O)[C@@H](Cc5ccc6ccccc6c5)NC(=O)C,1,0,7.21363258835372,-3.73,5.905,,0.6615,8,MODERATE
9,CPMD-16,CC(CN1CC[NH+](CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])O,1,0,7.0164859458706,-4.39,-0.024,5.0,0.6332,9,MODERATE
10,CPMD-03,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4c3cccc4)NC(=O)[C@H](Cc5cnc[nH]5)NC(=O)[C@@H]6CCC(=O)N6,1,0,7.313209571669391,,,,0.6068,10,MODERATE
11,CPMD-05,CC(C)C[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N)NC(=O)CNC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4c3cccc4)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@@H]6CCC(=O)N6,1,0,7.30658149043071,,,,0.6023,11,MODERATE
12,CPMD-17,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)Cc2ccc(cc2)O)[NH3+])C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)C(C)O,1,0,6.93426874906954,-4.26,-0.874,4.0,0.5735,12,MODERATE
13,CPMD-14,c1ccc(cc1)C[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSCCC(=O)N[C@H](C(=O)N2)Cc3ccc(cc3)O)C(=O)N4CCC[C@H]4C(=O)N[C@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,1,0,7.03146927337922,-3.98,5.652,,0.5589,13,LOW PRIORITY
