ChEMBL_ID,Compound_Name,SMILES,Molecular_Weight,LogP,RO5_Violations,IC50_nM,Activity_Label
CHEMBL472,GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,494.01,3.64,0.0,10000.0,Active
CHEMBL4476211,,COc1ccc2c(c1)C(=O)N(c1ccccc1)C2=O,253.26,2.5,0.0,5000.0,Active
CHEMBL4458109,,O=C(O)c1ccc(/C=C2\SC(=S)N(Cc3cccc(C(F)(F)F)c3)C2=S)cc1,439.51,5.61,1.0,5000.0,Active
CHEMBL4443648,,CCn1c(-c2ccccc2)nc2cc(C)ccc21,236.32,4.03,0.0,10000.0,Active
CHEMBL4565736,,CC1CC(=O)c2s/c(=N\C3CCCCC3)oc2C1,265.38,3.34,0.0,1280.0,Active
CHEMBL1164165,,O=c1[nH]c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc12,267.24,2.5,0.0,5000.0,Active
CHEMBL4583133,,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NO)cc1,384.84,1.99,0.0,8450.0,Active
CHEMBL3989943,DAPANSUTRILE,CS(=O)(=O)CCC#N,133.17,-0.06,0.0,1.0,Active
CHEMBL4538032,,C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,378.88,2.45,0.0,74000.0,Inactive
CHEMBL4468698,,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cc2)C1=O,550.68,4.0,1.0,42.0,Active
CHEMBL3183703,,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,404.49,2.99,0.0,7.5,Active
CHEMBL403183,,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,207.25,1.81,0.0,12000.0,Inactive
CHEMBL686,MEFENAMIC ACID,Cc1cccc(Nc2ccccc2C(=O)O)c1C,241.29,3.75,0.0,25000.0,Inactive
CHEMBL574646,,O=C1/C(=C/c2ccccn2)CNC/C1=C\c1ccccn1,277.33,2.12,0.0,950.0,Active
CHEMBL28,APIGENIN,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,270.24,2.58,0.0,10000.0,Active
CHEMBL3188223,,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,368.84,1.97,0.0,3250.0,Active
CHEMBL596380,,O=[N+]([O-])/C=C/c1ccc2c(c1)OCO2,193.16,1.66,0.0,2000.0,Active
