Smiles,Molecular Weight,AlogP,#RO5 Violations,pIC50
Cc1cc(NC2CCCN(C3CCC3)C2)nnc1-c1ccc2sccc2c1O,394.54,4.8,0.0,10.154901959985743
CC(C)OC(=O)[C@@H](Cn1cc(C#N)cn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,422.49,3.3,0.0,9.823908740944319
CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C3CCC3)C2)c(=O)c2cc3sc(Cl)cc3n12,462.02,3.62,0.0,9.522878745280337
CC(C)OC(=O)[C@@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,409.49,3.57,0.0,9.494850021680094
Cc1cc(N[C@@H]2CCCN(C)C2)nnc1-c1ccc(C2CC2)cc1O,338.46,3.54,0.0,9.42021640338319
CCN1CCC[C@@H](Nc2nc3nc(-c4c(C)cc(Cl)cc4O)ccc3o2)C1,386.88,4.45,0.0,9.397940008672037
CN1CCC[C@@H](Nc2cc(C(F)(F)F)c(-c3ccc(C(F)(F)F)cc3O)nn2)C1,420.36,4.39,0.0,9.397940008672037
Cc1cc(N[C@@H]2CCCN(C)C2)nnc1-c1ccc(C(F)(F)F)cc1O,366.39,3.68,0.0,9.397940008672037
Cc1nc(NC(C)c2cccc(O)c2)nnc1-c1ccc(C(F)(F)F)cc1O,390.37,4.45,0.0,9.301029995663981
CCN1CCC[C@H](Nc2nc3nc(-c4c(C)cc(Cl)cc4O)ccc3o2)C1.O=C(O)C(F)(F)F,500.91,4.45,0.0,9.301029995663981
Cc1cc(Cl)cc(O)c1-c1ccc2oc(N3CC[C@H]4CCN(C)C[C@H]43)nc2n1,398.89,4.09,0.0,9.301029995663981
CC(C)OC(=O)[C@@H](Cc1cnccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,409.49,3.57,0.0,9.2518119729938
CC(C)OC(=O)[C@@H](Cn1cncn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,398.46,2.82,0.0,9.236572006437063
COC(=O)CCN1CCC[C@H](Nc2nc3nc(-c4c(C)cc(Cl)cc4O)ccc3o2)C1,444.92,4.0,0.0,9.221848749616356
CCN1CCC[C@H](Nc2nc3nc(-c4c(C)cc(Cl)c(F)c4O)ccc3o2)C1.O=C(O)C(F)(F)F,518.9,4.59,0.0,9.221848749616356
Cc1cc(Cl)cc(O)c1-c1ccc2oc(N[C@H]3CCCN4CCC[C@H]34)nc2n1,398.89,4.6,0.0,9.221848749616356
O=C(Nc1c2c(cc3c1CCC3)CCC2)O[C@H](Cc1ncccn1)C(=O)OC1CCCC1,435.52,4.1,0.0,9.207608310501746
C[C@]1(O)C[C@@H](Nc2nnc(-c3ccc(C(F)(F)F)cc3O)c3c2COC3)C1,381.35,3.22,0.0,9.102372908709558
CCN1CCC[C@H](Nc2ccc(-c3c(C)cc(C(F)(F)F)cc3O)nn2)C1,380.41,4.07,0.0,9.096910013008056
CN1CCC[C@@H](Nc2nnc(-c3ccc(C(F)(F)F)cc3O)c3c2COC3)C1,394.4,3.4,0.0,9.074172425375258
Cc1nc(N[C@@H]2CCCN(C)C2)nnc1-c1ccc(C2CC2)cc1O,339.44,2.94,0.0,9.0
Cc1nc(N[C@@H]2CCCN(C)C2)nnc1-c1ccc(Cl)cc1O,333.82,2.71,0.0,9.0
Cc1cc(O)c(-c2nnc(N[C@@H]3CCCN(C)C3)nc2C)c(F)c1,331.4,2.51,0.0,9.0
COc1ccc(-c2nnc(N[C@@H]3CCCN(C)C3)nc2C)c(O)c1,329.4,2.07,0.0,9.0
Cc1nc(N[C@@H]2CCCN(C)C2)nnc1-c1ccc(C(F)(F)F)cc1O,367.38,3.08,0.0,9.0
CCOC(=O)C(Cn1cncn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,384.44,2.44,0.0,9.0
Cc1ccc(-c2nnc(N[C@@H]3CCCN(C)C3)c3c2C2C=CC3CC2)c(O)c1,376.5,4.19,0.0,9.0
COc1cc(O)c(-c2nnc(N[C@@H]3CCCN(C)C3)nc2C)c(F)c1,347.39,2.21,0.0,9.0
CC(C)Sc1cc2c(=O)n(CC(=O)N[C@H]3C[C@@](C)(O)C3)nc(C(C)C)n2c1,392.53,2.15,0.0,9.0
CCN1CCC[C@@H](Nc2ccc(-c3c(C)cc(C(F)(F)F)cc3O)nn2)C1,380.41,4.07,0.0,9.0
CCN1CCC[C@@H](Nc2ccc(-c3c(C)cc(C#N)cc3O)nn2)C1,337.43,2.93,0.0,8.958607314841775
Cc1cc(C#N)cc(O)c1-c1ccc(N2CC[C@H]3CCN(C)C[C@H]32)nn1,349.44,2.56,0.0,8.920818753952375
Cc1cc(N2CC[C@H]3CCN(C)C[C@H]32)nnc1-c1ccc(C#N)cc1O,349.44,2.56,0.0,8.744727494896694
Cc1cc(N2CCC3CCN(C)CC32)nnc1-c1ccc(C#N)cc1O,349.44,2.56,0.0,8.744727494896694
C[C@@]1(CO)Cn2ncc([S@@+](N)([O-])=NC(=O)Nc3c4c(cc5c3CCC5)CCC4)c2O1,431.52,1.94,0.0,8.721246399047171
CCOC(=O)C(Cn1cc(C#N)cn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,408.46,2.91,0.0,8.698970004336019
Cc1nc(N[C@@H]2CCCN(CCO)C2)nnc1-c1ccc2c(c1O)CCO2,371.44,1.36,0.0,8.638272163982407
OCCN1CCC[C@@H](Nc2nnc(-c3ccc4occc4c3O)c3c2C2CCC3CC2)C1,434.54,4.22,0.0,8.540607512240769
Cc1cc(Br)cc(C)c1-n1cc2c(=O)[nH]c(NCC(C)C)nc2n1,390.29,3.56,0.0,8.522878745280337
C[C@]1(O)C[C@@H](Nc2nnc(-c3ccc(C#N)cc3O)c3c2CCCC3)C1,350.42,2.92,0.0,8.522878745280337
Cc1cc(Br)cc(C)c1-n1cc2c(=O)[nH]c(N3C=COCC3)nc2n1,402.25,2.8,0.0,8.522878745280337
C[C@]1(O)C[C@@H](NC(=O)CN2C[C@@]3(C[C@@H]3F)c3cc(I)ccc3C2=O)C1,458.27,1.76,0.0,8.522878745280337
