Molecular Weight,AlogP,#RO5 Violations,Action_Encoded,pIC50
366.39,3.68,0.0,1,9.397940008672037
420.36,4.39,0.0,1,9.397940008672037
386.88,4.45,0.0,1,9.397940008672037
398.89,4.09,0.0,1,9.301029995663981
500.91,4.45,0.0,1,9.301029995663981
390.37,4.45,0.0,1,9.301029995663981
409.49,3.57,0.0,1,9.2518119729938
398.46,2.82,0.0,1,9.236572006437063
518.9,4.59,0.0,1,9.221848749616356
398.89,4.6,0.0,1,9.221848749616356
444.92,4.0,0.0,1,9.221848749616356
435.52,4.1,0.0,1,9.207608310501746
381.35,3.22,0.0,1,9.102372908709558
380.41,4.07,0.0,1,9.096910013008056
394.4,3.4,0.0,1,9.074172425375258
347.39,2.21,0.0,1,9.0
333.82,2.71,0.0,1,9.0
339.44,2.94,0.0,1,9.0
380.41,4.07,0.0,1,9.0
367.38,3.08,0.0,1,9.0
329.4,2.07,0.0,1,9.0
392.53,2.15,0.0,0,9.0
384.44,2.44,0.0,1,9.0
376.5,4.19,0.0,1,9.0
331.4,2.51,0.0,1,9.0
337.43,2.93,0.0,1,8.958607314841775
349.44,2.56,0.0,1,8.920818753952375
349.44,2.56,0.0,1,8.744727494896694
349.44,2.56,0.0,1,8.744727494896694
431.52,1.94,0.0,1,8.721246399047171
408.46,2.91,0.0,1,8.698970004336019
409.49,3.57,0.0,1,8.67778070526608
371.44,1.36,0.0,1,8.638272163982407
434.54,4.22,0.0,1,8.540607512240769
458.27,1.76,0.0,1,8.522878745280337
350.42,2.92,0.0,1,8.522878745280337
402.25,2.8,0.0,1,8.522878745280337
390.29,3.56,0.0,1,8.522878745280337
383.45,2.93,0.0,1,8.508638306165727
363.48,2.19,0.0,1,8.494850021680094
491.61,3.48,0.0,1,8.482804102050025
425.49,2.71,0.0,1,8.468521082957745
361.47,2.27,0.0,1,8.443697499232712
413.48,2.23,0.0,1,8.3767507096021
348.45,3.82,0.0,1,8.362510270487489
448.52,2.2,0.0,1,8.327902142064282
377.49,3.27,0.0,1,8.318758762624412
404.49,2.99,0.0,0,8.301029995663981
466.59,2.77,0.0,1,8.301029995663981
410.52,2.99,0.0,0,8.301029995663981
422.49,3.3,0.0,1,8.301029995663981
412.49,4.16,0.0,0,8.275724130399212
392.48,4.47,0.0,1,8.274088367704952
487.63,4.0,0.0,1,8.27083521030723
431.52,1.35,0.0,1,8.267606240177031
351.45,3.18,0.0,1,8.2518119729938
363.85,2.1,0.0,1,8.229147988357855
424.91,1.62,0.0,1,8.221848749616356
406.5,2.99,0.0,0,8.221848749616356
408.51,2.99,0.0,0,8.221848749616356
415.48,2.33,0.0,1,8.214670164989233
394.5,4.02,0.0,0,8.167491087293763
