Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL472,GLYBURIDE,4.0,494.01,0.0,3.64,Glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,IC50,'=',10000.0,nM,5.0,,,UO_0000065,10.12,0.21,1.36,4.4,0,CHEMBL4324145,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse bone marrow derived macrophages preincubated for 15 mins followed by addition of ATP and measured after 30 mins by immunoblotting analysis,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,10.0
CHEMBL16730,,,291.13,0.0,4.77,F-8,O=c1cc(-c2ccc(Cl)c(Cl)c2)oc2ccccc12,Inhibition,'=',49.5,%,,,,UO_0000187,,,,,0,CHEMBL4324156,Inhibition of NLRP3 inflammasome activation in PMA differentiated human THP1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 30 mins followed by addition of MSU and meaured after 6 hrs by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,49.5
CHEMBL4476211,,,253.26,0.0,2.5,7,COc1ccc2c(c1)C(=O)N(c1ccccc1)C2=O,IC50,'=',5000.0,nM,5.3,,,UO_0000065,20.93,0.38,2.8,11.37,0,CHEMBL4324160,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level preincubated for 1 hr followed by addition of ATP and measured after 30 mins by ELISA method,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,5.0
CHEMBL4458109,,,439.51,1.0,5.61,CY-09,O=C(O)c1ccc(/C=C2\SC(=S)N(Cc3cccc(C(F)(F)F)c3)C2=S)cc1,IC50,'=',5000.0,nM,5.3,,,UO_0000065,12.06,0.26,-0.31,13.08,0,CHEMBL4324168,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse bone marrow derived macrophages incubated for 30 mins by immunoblotting analysis,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,5.0
CHEMBL4443648,,,236.32,0.0,4.03,Fc11a-2,CCn1c(-c2ccccc2)nc2cc(C)ccc21,IC50,'=',10000.0,nM,5.0,,,UO_0000065,21.16,0.38,0.97,28.06,0,CHEMBL4324165,Inhibition of NLRP3 inflammasome activation in LPS-primed human THP1 cells assessed as reduction in IL-1beta level preincubated for 1 hr followed by addition of ATP and measured after 1 hr by ELISA method,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,10.0
CHEMBL4565736,,,265.38,0.0,3.34,BOT-4-one,CC1CC(=O)c2s/c(=N\C3CCCCC3)oc2C1,IC50,'=',1280.0,nM,5.89,,,UO_0000065,22.21,0.45,2.55,13.84,0,CHEMBL4324169,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse bone marrow derived macrophages incubated for 1 hr followed by addition of ATP and measured after 1 hr by immunoblotting analysis,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,1.28
CHEMBL1164165,,,267.24,0.0,2.5,8,O=c1[nH]c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc12,IC50,'=',5000.0,nM,5.3,,,UO_0000065,19.84,0.36,2.8,5.96,0,CHEMBL4324160,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level preincubated for 1 hr followed by addition of ATP and measured after 30 mins by ELISA method,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,5.0
CHEMBL4583133,,,384.84,0.0,1.99,JC171,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NO)cc1,IC50,'=',8450.0,nM,5.07,,,UO_0000065,13.18,0.28,3.08,4.84,0,CHEMBL4324151,Inhibition of NLRP3 inflammasome activation in mouse J774A.1 cells assessed as reduction in IL-1beta level preincubated for 2 hrs followed by LPS-stimulation and further incubated for 5.5 hrs and subsequently ATP addition and measured after 30 mins by ELISA method,B,BAO_0000219,cell-based format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,8.45
CHEMBL381945,,,202.24,0.0,2.08,TBZ-21,c1cc2[nH]c(-c3cscn3)nc2cn1,Inhibition,'=',30.0,%,,,,UO_0000187,,,,,0,CHEMBL4324159,Inhibition of NLRP3 inflammasome activation in LPS-stimulated human THP1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 1 hr followed by addition of ATP and measured after 1 hr by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,30.0
CHEMBL3989943,DAPANSUTRILE,2.0,133.17,0.0,-0.06,OLT1177,CS(=O)(=O)CCC#N,IC50,'=',1.0,nM,9.0,,,UO_0000065,67.58,1.54,9.06,15.54,0,CHEMBL4324170,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level preincubated for 30 mins followed by addition of nigericin and measured after 40 mins by ELISA,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,1.0
CHEMBL3183703,,,404.49,0.0,2.99,MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,F,'=',68.0,%,,,,UO_0000187,,,,,0,CHEMBL4324148,Oral bioavailability in C57BL/6 mouse at 20 mg/kg,A,BAO_0000218,organism-based format,Mus musculus,,,,,,,,CHEMBL612558,ADMET,,ADMET,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,68.0
